id,external_id,season,season_type,week,home_team_id,away_team_id,game_date,kickoff_time,status,quarter,time_remaining,home_score,away_score,home_score_q1,home_score_q2,home_score_q3,home_score_q4,home_score_ot,away_score_q1,away_score_q2,away_score_q3,away_score_q4,away_score_ot,stadium,dome,surface,temperature,wind_speed,weather_condition,home_spread,total_over_under,checksum,created_at,updated_at
3123,2025_03_LV_WAS,2025,REG,3,46,57,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,FedExField,f,grass,,,,3.5,44.5,,2025-09-19 00:11:29.80407,2025-09-19 22:32:00.608876
3127,2025_03_ARI_SF,2025,REG,3,38,54,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Levi's Stadium,f,grass,,,,3,45.5,,2025-09-19 00:11:29.804072,2025-09-19 22:32:00.608876
3128,2025_03_KC_NYG,2025,REG,3,44,70,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,MetLife Stadium,f,fieldturf,,,,-6,45.5,,2025-09-19 00:11:29.804073,2025-09-19 22:32:00.608877
3137,2025_04_LAC_NYG,2025,REG,4,44,55,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,MetLife Stadium,f,fieldturf,,,,-5.5,45.5,,2025-09-19 00:11:29.804079,2025-09-19 22:32:00.608877
2524,2023_01_LA_SEA,2023,REG,1,45,56,2023-09-10 00:00:00,2023-09-10 00:00:00,FINAL,,,13,30,,,,,,,,,,,Lumen Field,f,unknown,,,,,,799a9cc2eb7e70ccdb6334b8031e94e7279c8ada0e7c899c8d533dcf48827111,2025-09-18 19:10:18.261183,2025-09-19 22:32:42.118345
3118,2025_03_CIN_MIN,2025,REG,3,43,42,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,U.S. Bank Stadium,t,sportturf,,,,3,42.5,,2025-09-19 00:11:29.804066,2025-09-19 22:32:42.118348
3119,2025_03_PIT_NE,2025,REG,3,51,65,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Gillette Stadium,f,fieldturf,,,,-1.5,44.5,,2025-09-19 00:11:29.804067,2025-09-19 22:32:42.118348
3121,2025_03_NYJ_TB,2025,REG,3,58,67,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Raymond James Stadium,f,grass,,,,7,43.5,,2025-09-19 00:11:29.804068,2025-09-19 22:32:42.118349
3122,2025_03_IND_TEN,2025,REG,3,66,62,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Nissan Stadium,f,grass,,,,-4.5,43.5,,2025-09-19 00:11:29.804069,2025-09-19 22:32:42.118349
3132,2025_04_WAS_ATL,2025,REG,4,63,46,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Mercedes-Benz Stadium,t,fieldturf,,,,-1.5,45.5,,2025-09-19 00:11:29.804075,2025-09-19 22:32:42.118351
3133,2025_04_NO_BUF,2025,REG,4,71,50,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,New Era Field,f,a_turf,,,,14.5,47.5,,2025-09-19 00:11:29.804076,2025-09-19 22:32:42.118351
3136,2025_04_CAR_NE,2025,REG,4,51,47,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Gillette Stadium,f,fieldturf,,,,6,44.5,,2025-09-19 00:11:29.804078,2025-09-19 22:32:42.118351
3139,2025_04_IND_LA,2025,REG,4,56,62,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,SoFi Stadium,t,matrixturf,,,,5.5,47.5,,2025-09-19 00:11:29.80408,2025-09-19 22:32:42.118352
3140,2025_04_JAX_SF,2025,REG,4,38,61,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Levi's Stadium,f,grass,,,,4.5,46.5,,2025-09-19 00:11:29.804081,2025-09-19 22:32:42.118352
3141,2025_04_BAL_KC,2025,REG,4,70,48,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,GEHA Field at Arrowhead Stadium,f,grass,,,,-2.5,48.5,,2025-09-19 00:11:29.804081,2025-09-19 22:32:42.118352
3084,2025_01_TB_ATL,2025,REG,1,63,58,2025-09-07 00:00:00,2025-09-07 00:00:00,SCHEDULED,,,20,23,,,,,,,,,,,Mercedes-Benz Stadium,t,fieldturf,,,,-1.5,47.5,,2025-09-19 00:11:29.804042,2025-09-19 22:25:42.295855
3144,2025_04_NYJ_MIA,2025,REG,4,39,67,2025-09-29 00:00:00,2025-09-29 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Hard Rock Stadium,f,grass,,,,2.5,44.5,,2025-09-19 00:11:29.804083,2025-09-19 22:25:42.295873
3086,2025_01_MIA_IND,2025,REG,1,62,39,2025-09-07 00:00:00,2025-09-07 00:00:00,SCHEDULED,,,33,8,,,,,,,,,,,Lucas Oil Stadium,t,fieldturf,,,,1.5,47.5,,2025-09-19 00:11:29.804046,2025-09-19 22:25:42.295856
2521,2023_01_LV_DEN,2023,REG,1,59,57,2023-09-10 00:00:00,2023-09-10 00:00:00,FINAL,,,16,17,,,,,,,,,,,Empower Field at Mile High,f,unknown,,,,,,2670bc828a0fc2ab71f56244d1a65ada81f52534aef27b85812a7240e40a6797,2025-09-18 19:10:18.261181,2025-09-19 22:32:42.118345
3054,2024_18_CAR_ATL,2024,REG,18,63,47,2025-01-05 00:00:00,2025-01-05 00:00:00,FINAL,,,38,44,,,,,,,,,,,Mercedes-Benz Stadium,t,fieldturf,,,,,,a1d184536fc7b0c0079649a93e07d4d6bf12991514cb7ade8c377bfef575481c,2025-09-18 19:16:35.68639,2025-09-19 22:32:42.118346
3055,2024_18_WAS_DAL,2024,REG,18,41,46,2025-01-05 00:00:00,2025-01-05 00:00:00,FINAL,,,19,23,,,,,,,,,,,AT&T Stadium,t,matrixturf,,,,,,64202f4f4b4d44a6bee2ce554eefd67f2db25f76930842e9c4a0db689c673177,2025-09-18 19:16:35.686391,2025-09-19 22:32:42.118346
3115,2025_03_ATL_CAR,2025,REG,3,47,63,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Bank of America Stadium,f,grass,,,,-5.5,43.5,,2025-09-19 00:11:29.804065,2025-09-19 22:32:42.118347
3116,2025_03_GB_CLE,2025,REG,3,40,53,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,FirstEnergy Stadium,f,grass,,,,-8.5,41.5,,2025-09-19 00:11:29.804065,2025-09-19 22:32:42.118347
3117,2025_03_HOU_JAX,2025,REG,3,61,52,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,TIAA Bank Stadium,f,grass,,,,1.5,44.5,,2025-09-19 00:11:29.804066,2025-09-19 22:32:42.118348
3124,2025_03_DEN_LAC,2025,REG,3,55,59,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,SoFi Stadium,t,matrixturf,,,,2.5,45.5,,2025-09-19 00:11:29.80407,2025-09-19 22:32:42.11835
3125,2025_03_NO_SEA,2025,REG,3,45,50,2025-09-21 00:00:00,2025-09-21 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Lumen Field,f,fieldturf,,,,7.5,41.5,,2025-09-19 00:11:29.804071,2025-09-19 22:32:42.11835
3134,2025_04_CLE_DET,2025,REG,4,69,40,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Ford Field,t,fieldturf,,,,10.5,47.5,,2025-09-19 00:11:29.804076,2025-09-19 22:32:42.118351
3085,2025_01_CIN_CLE,2025,REG,1,40,42,2025-09-07 00:00:00,2025-09-07 00:00:00,SCHEDULED,,,16,17,,,,,,,,,,,FirstEnergy Stadium,f,grass,,,,-5.5,47.5,,2025-09-19 00:11:29.804045,2025-09-19 22:25:42.295856
3130,2025_04_SEA_ARI,2025,REG,4,54,45,2025-09-25 00:00:00,2025-09-25 00:00:00,SCHEDULED,,,,,,,,,,,,,,,State Farm Stadium,t,grass,,,,2.5,43.5,,2025-09-19 00:11:29.804074,2025-09-19 22:25:42.295869
3131,2025_04_MIN_PIT,2025,REG,4,65,43,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Acrisure Stadium,f,grass,,,,1.5,41.5,,2025-09-19 00:11:29.804074,2025-09-19 22:25:42.29587
3135,2025_04_TEN_HOU,2025,REG,4,52,66,2025-09-28 00:00:00,2025-09-28 00:00:00,SCHEDULED,,,,,,,,,,,,,,,NRG Stadium,t,astroturf,,,,6.5,41.5,,2025-09-19 00:11:29.804077,2025-09-19 22:25:42.295871
3087,2025_01_CAR_JAX,2025,REG,1,61,47,2025-09-07 00:00:00,2025-09-07 00:00:00,SCHEDULED,,,26,10,,,,,,,,,,,TIAA Bank Stadium,f,grass,,,,4.5,45.5,,2025-09-19 00:11:29.804047,2025-09-19 22:25:42.295856
3088,2025_01_LV_NE,2025,REG,1,51,57,2025-09-07 00:00:00,2025-09-07 00:00:00,SCHEDULED,,,13,20,,,,,,,,,,,Gillette Stadium,f,fieldturf,,,,2.5,44.5,,2025-09-19 00:11:29.804047,2025-09-19 22:25:42.295857
3199,2025_08_DAL_DEN,2025,REG,8,59,41,2025-10-26 00:00:00,2025-10-26 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Empower Field at Mile High,f,grass,,,,,,,2025-09-19 00:11:29.804118,2025-09-19 22:25:42.295891
3200,2025_08_TEN_IND,2025,REG,8,62,66,2025-10-26 00:00:00,2025-10-26 00:00:00,SCHEDULED,,,,,,,,,,,,,,,Lucas Oil Stadium,t,fieldturf,,,,,,,2025-09-19 00:11:29.804118,2025-09-19 22:25:42.295891
3089,2025_01_ARI_NO,2025,REG,1,50,54,2025-09-07 00:00:00,2025-09-07 00:00:00,SCHEDULED,,,13,20,,,,,,,,,,,Mercedes-Benz Superdome,t,sportturf,,,,-6,44.5,,2025-09-19 00:11:29.804048,2025-09-19 22:25:42.295857
